resto_id,nama_restoran,preferensi_makanan,lokasi_restoran,Harga_Rata-Rata_Makanan_di_Toko (Rp),rating_toko,jenis_suasana,toko_sering_diskon_(Ya/Tidak),variasi_makanan,pelayanan_khusus_pasangan_(Ya/Tidak),entertainment,keramaian_restoran,disajikan/ambil_sendiri,all_you_can_eat/ala_carte,Lokasi
RT271J1,Kue Bandung & Pukis Ko Ayung Kotabaru,Indonesia,3.24 km,56000,4.4,Santai,Tidak,"Kue Pukis, Terang Bulan",Tidak,2,2,Disajikan,Ala Carte,https://maps.app.goo.gl/s9QNE8D2LuxZp13i7
RT272J1,Es Buah Gerjen Keraton Yogyakarta,Indonesia,3.26 km,28000,4.7,Santai,Tidak,"Es Buah, Es Campur",Tidak,2,3,Disajikan,Ala Carte,https://maps.app.goo.gl/RfT7TZKKfQDbnb68A
RT273J1,"Nasi Liwet Bu Wongso Lemu ""Asli Solo"" Kotagede꧋ꦤꦱꦶꦭꦶꦮꦼꦠ꧀ꦧꦸꦮꦺꦴꦁꦱꦺꦴꦊꦩꦸ""ꦄꦱ꧀ꦭꦶꦱꦺꦴꦭꦺꦴ""ꦏꦺꦴꦠꦒꦺꦣꦺ",Indonesia,1.18 km,28000,4.8,Santai,Tidak,Nasi Liwet,Tidak,4,2,Disajikan,Ala Carte,https://maps.app.goo.gl/amqL3BJTm721f86H7
RT274J1,Kedai Djoema Roti Canai dan Teh Tarik,Indonesia,3.54 km,23000,4.9,Santai,Tidak,"Roti Canai, Teh Tarik, Cung-cung ",Tidak,1,1,Disajikan,Ala Carte,https://maps.app.goo.gl/ovEUsh8kiDkNKDJ66
RT275J1,GH Corner,Indonesia,0.51 km,21000,4.5,Santai,Tidak,"Nasi Biryani, Nasi Lemak, Nasi Goreng, Roti Canai, Tomyum, Roti Tisu, Es Teh, Teh Tarik",Tidak,2,1,Disajikan,Ala Carte,https://maps.app.goo.gl/ZVeGwwo9UURP9Wmc6
RT276J1,MIE ACEH DUTA SERAMBI,Indonesia,4.14 km,20000,4.2,Santai,Tidak,"Nasi Goreng, Mie Aceh, Teh Tarik, Kopi",Tidak,4,3,Disajikan,Ala Carte,https://maps.app.goo.gl/BAJaPqE4uL62Q1sJ6
RT277J1,Mie Aceh Rempah Pasai Nologaten,Indonesia,1.58 km,43000,4.7,Santai,Tidak,"Mie Aceh, Roti Canai, Es Teh",Tidak,3,2,Disajikan,Ala Carte,https://maps.app.goo.gl/pt8D8G8NRunwN3DX7
RT278J1,Warung Rendang,Indonesia,0.25 km,17000,4.6,Santai,Tidak,"Nasi Rendang, Nasi Goreng, Es Jeruk, Mie Goreng",Tidak,4,2,Disajikan,Ala Carte,https://maps.app.goo.gl/pPCht6SP2wzdULYFA
RT279J1,Soto Kudus Pak Dewo,Indonesia,0.39 km,22000,4.2,Santai,Tidak,"Soto Kudus, Soto Ayam, Soto Sapi",Tidak,2,2,Disajikan,Ala Carte,https://maps.app.goo.gl/5kmj1K5kq5stevbHA
RT280J1,Soto Kudus & Nasi Pindang Inna,Indonesia,1.87 km,23000,4.4,Santai,Tidak,"Nasi Pindang, Soto Kudus, Es Teh",Tidak,3,2,Disajikan,Ala Carte,https://maps.app.goo.gl/bihCWfLhasdi4jru6
